DATA date is  22-06-17
ライバー,VideoCount
AiraniIofifteen 416
AnyaMelfissa 347
AyundaRisu 541
AZKi 238
CeresFauna 172
GawrGura 353
HakosBaelz 218
IRyS 192
KaelaKovalskia 112
KoboKanaeru 64
KureijiOllie 506
MoonaHoshinova 426
MoriCalliope 480
NanashiMumei 162
NinomaeIna'nis 405
OuroKronii 141
PavoliaReine 553
TakabashiKiara 555
TsukumoSana 97
VestiaZeta 91
WatsonAmelia 573
さくらみこ 779
ときのそら 634
アキ・ローゼンタール 597
ラプラス・ダークネス 171
ロボ子さん 1019
不知火フレア 874
兎田ぺこら 968
博衣こより 360
夏色まつり 780
夜空メル 320
大神ミオ 524
大空スバル 654
天音かなた 873
姫森ルーナ 478
宝鐘マリン 746
尾丸ポルカ 686
常闇トワ 718
戌神ころね 554
星街すいせい 523
桃鈴ねね 498
沙花叉クロヱ 150
湊あくあ 443
猫又おかゆ 595
獅白ぼたん 606
癒月ちょこ 471
白神フブキ 1538
白銀ノエル 665
百鬼あやめ 211
紫咲シオン 437
角巻わため 940
赤井はあと 794
雪花ラミィ 671
風真いろは 183
鷹嶺ルイ 341
